21,1622731,Student,21,1622731@student.com,CSE,password,IUB
22,1696326,Student,22,1696326@student.com,CSE,password,IUB
23,1646434,Student,23,1646434@student.com,CSE,password,IUB
24,1614142,Student,24,1614142@student.com,CSE,password,IUB
25,1654432,Student,25,1654432@student.com,CSE,password,IUB
26,1678812,Student,26,1678812@student.com,CSE,password,IUB
27,1614733,Student,27,1614733@student.com,CSE,password,IUB
28,1665491,Student,28,1665491@student.com,CSE,password,IUB
29,1634352,Student,29,1634352@student.com,CSE,password,IUB
30,1661638,Student,30,1661638@student.com,CSE,password,IUB
31,1686272,Student,31,1686272@student.com,CSE,password,IUB
32,1729416,Student,32,1729416@student.com,CSE,password,IUB
33,1763881,Student,33,1763881@student.com,CSE,password,IUB
34,1781682,Student,34,1781682@student.com,CSE,password,IUB
35,1778274,Student,35,1778274@student.com,CSE,password,IUB
36,1795656,Student,36,1795656@student.com,CSE,password,IUB
37,1773277,Student,37,1773277@student.com,CSE,password,IUB
38,1759787,Student,38,1759787@student.com,CSE,password,IUB
39,1743714,Student,39,1743714@student.com,CSE,password,IUB
40,1747457,Student,40,1747457@student.com,CSE,password,IUB
