1,1416455,Student,1,1416455@student.com,CSE,password,BRAC
2,1579288,Student,2,1579288@student.com,CSE,password,BRAC
3,1528882,Student,3,1528882@student.com,CSE,password,BRAC
4,1653725,Student,4,1653725@student.com,CSE,password,BRAC
5,1625654,Student,5,1625654@student.com,CSE,password,BRAC
6,1669953,Student,6,1669953@student.com,CSE,password,BRAC
7,1665555,Student,7,1665555@student.com,CSE,password,BRAC
8,1616161,Student,8,1616161@student.com,CSE,password,BRAC
9,1633554,Student,9,1633554@student.com,CSE,password,BRAC
10,1645333,Student,10,1645333@student.com,CSE,password,BRAC
11,1691291,Student,11,1691291@student.com,CSE,password,BRAC
12,1662147,Student,12,1662147@student.com,CSE,password,BRAC
13,1691483,Student,13,1691483@student.com,CSE,password,BRAC
14,1674181,Student,14,1674181@student.com,CSE,password,BRAC
15,1641252,Student,15,1641252@student.com,CSE,password,BRAC
16,1695837,Student,16,1695837@student.com,CSE,password,BRAC
17,1613273,Student,17,1613273@student.com,CSE,password,BRAC
18,1612985,Student,18,1612985@student.com,CSE,password,BRAC
19,1623112,Student,19,1623112@student.com,CSE,password,BRAC
20,1668314,Student,20,1668314@student.com,CSE,password,BRAC
